team,goals_scored,goals_conceded,goal_diff
Liverpool,2.19653812235867,1.1381678632481995,1.0583702591104707
Manchester City,1.9153028753903798,1.1995625294472674,0.7157403459431124
Newcastle Utd,1.6795495359842243,1.1948657423494535,0.48468379363477077
Chelsea,1.7856933383560651,1.3298476384057298,0.4558456999503353
Crystal Palace,1.5448908844726368,1.2159181759242057,0.3289727085484311
Aston Villa,1.6002240564457837,1.298978560028008,0.30124549641777576
Brentford,1.489556595050164,1.2798267926361782,0.20972980241398576
Fulham,1.4563437014173874,1.2477803575426345,0.20856334387475295
Arsenal,1.8400685386725355,1.632044358298957,0.2080241803735785
Brighton,1.63784728859579,1.4707348730343157,0.16711241556147427
Tottenham,1.3902510768666756,1.2557648241517385,0.13448625271493708
Nott'ham Forest,1.3258926826341748,1.2136479079433593,0.11224477469081551
Bournemouth,1.6059178897356619,1.5459466672794755,0.05997122245618636
Manchester Utd,1.3893411735786714,1.3340317631503469,0.05530941042832449
Everton,1.269152216902816,1.357754607947508,-0.08860239104469203
Watford,0.9448220506107726,1.1296656835342167,-0.18484363292344408
Burnley,1.0319235171739438,1.2199764609265566,-0.18805294375261283
Wolves,1.2853238964779907,1.4852080346146765,-0.19988413813668582
Leeds United,1.1769032311623053,1.412792914865849,-0.23588968370354357
Southampton,0.8398124341075017,1.1136464583072758,-0.2738340241997741
Luton Town,0.9854891658496453,1.2631827803986169,-0.27769361454897157
West Ham,1.2948608281091851,1.5965780921718944,-0.30171726406270927
Norwich City,0.8770316642312693,1.1939683403028996,-0.31693667607163023
West Brom,0.9590408721740734,1.2974738856780799,-0.33843301350400645
Cardiff City,0.9657289747801046,1.3321109590589835,-0.3663819842788789
Leicester City,0.89151606459304,1.2857940642089485,-0.3942779996159085
Ipswich Town,0.9337445688850634,1.4127757209874394,-0.479031152102376
Stoke City,1.0276467665952336,1.5382076068660744,-0.5105608402708408
Sheffield Utd,0.9140991897061861,1.4300493346497005,-0.5159501449435144
Swansea City,1.004810194879225,1.597990456664538,-0.593180261785313
Huddersfield,0.9924974187961645,1.6021836814895687,-0.6096862626934042
