round,match_date,home_team,home_goals,away_team,away_goals,match_url
1,2025-08-15,Liverpool,4,AFC Bournemouth,2,https://www.fotmob.com/en-GB/matches/liverpool-vs-afc-bournemouth/2he69q#4813374
1,2025-08-16,Aston Villa,0,Newcastle United,0,https://www.fotmob.com/en-GB/matches/aston-villa-vs-newcastle-united/3h9v0m#4813375
1,2025-08-16,Brighton & Hove Albion,1,Fulham,1,https://www.fotmob.com/en-GB/matches/fulham-vs-brighton-hove-albion/3c2rvp#4813376
1,2025-08-16,Sunderland,3,West Ham United,0,https://www.fotmob.com/en-GB/matches/sunderland-vs-west-ham-united/2fbl3n#4813378
1,2025-08-16,Tottenham Hotspur,3,Burnley,0,https://www.fotmob.com/en-GB/matches/burnley-vs-tottenham-hotspur/2bss1j#4813379
1,2025-08-16,Wolverhampton Wanderers,0,Manchester City,4,https://www.fotmob.com/en-GB/matches/manchester-city-vs-wolverhampton-wanderers/2emo8d#4813380
1,2025-08-17,Chelsea,0,Crystal Palace,0,https://www.fotmob.com/en-GB/matches/chelsea-vs-crystal-palace/2rhvvj#4813381
1,2025-08-17,Nottingham Forest,3,Brentford,1,https://www.fotmob.com/en-GB/matches/brentford-vs-nottingham-forest/3crchb#4813377
1,2025-08-17,Manchester United,0,Arsenal,1,https://www.fotmob.com/en-GB/matches/arsenal-vs-manchester-united/3c3mu0#4813382
1,2025-08-18,Leeds United,1,Everton,0,https://www.fotmob.com/en-GB/matches/leeds-united-vs-everton/2fdf72#4813383
